203905,14759,1
41346,828,1
41347,2981,1
51336,30304,16
42506,17314,4
203479,1135,1
59394,899,1
48270,1731,1
64400,3163,1
47253,199078,22
51737,201491,62
50330,1499,1
42013,15330,4
56995,17073,7
12975,197617,126
31408,38494,32
52145,7281,9
35385,8289,4
47546,11478,3
48701,4166,1
48966,4443,6
42314,109567,36
62027,25931,4
51407,253672,143
12754,206511,99
56787,66903,14
202710,4625,1
199895,3748,2
34008,14114,3
49248,21314,1
197350,70334,33
15975,181527,87
57704,77832,34
61417,10639,2
60268,183294,29
20719,19296,6
51440,298765,92
29310,2127,2
205205,43365,5
