61113,8088,2
43019,40518,10
12812,23371,5
35074,1523433,149
56337,9250,1
42003,179465,61
202772,9900,1
59931,8004,1
42020,30637,13
197674,21256,12
43056,8564,7
59955,14702,5
34356,39305,4
24634,151629,49
206911,12921,2
34370,13665,4
206406,5479,5
60999,2354,2
48206,18529,4
56333,11141,4
57937,708,1
29027,13652,5
47701,45715,5
38999,28144,11
12376,3814,1
39010,979309,220
48740,5690,1
47719,4762,4
3176,10341,3
50285,602,1
197249,2167,1
206472,31419,5
60524,2443,1
34447,4166,1
62100,8350,3
15511,21046,5
34458,71755,22
44189,16222,2
31390,7671,4
57513,23566,9
206519,47498,2
47289,13279,4
206197,13181,2
62144,6257,1
25281,27908,4
51910,5107,7
42183,17347,5
48847,81472,22
56530,565,1
198867,10624,2
206550,10621,1
205348,3418,2
3290,20490,4
51938,23356,4
34032,2773,3
13044,1851,1
41211,5896,1
16130,99902,20
57604,11057,4
205578,13692,1
34062,3728,4
16169,4646,4
12590,8281,3
43824,140442,33
203913,666,1
24892,4635,4
47935,24563,4
34113,8943,4
50500,4447,4
44870,1261,2
201544,23754,1
42828,12918,4
42835,1899,1
206169,3313,1
9051,572226,155
42334,190996,61
203615,9787,6
31587,10492,4
42852,21827,14
51558,1699,2
41833,388438,67
39275,31498,1
31037,56193,5
203637,15934,4
15739,22961,4
49020,8532,4
35197,102822,17
25471,11001,4
24982,8415,2
20874,17730,4
50839,1153,1
29070,4692,4
61330,10218,3
25491,21916,4
34708,6378,7
60398,7873,7
31126,1543933,310
57256,26347,10
29099,0,0
57778,16530,5
44979,7764,4
34741,9396,3
29623,11045,4
205556,54536,5
64443,10945,4
39868,3604,1
41423,9541,2
50131,4611,5
60372,12320,4
199643,4320,1
41956,64882,7
39402,3410,1
39918,12200,2
48629,7409,4
60406,7342,1
58281,9817,2
8699,3673,4
57852,5104,4
59989,11327,4
