206854,19724,4
202762,26748,3
204812,2518,1
57357,21422,11
206862,10534,1
34837,1345,1
51235,136334,16
202788,1135923,2
51241,11869,1
205490,42606,3
59441,283726,21
59442,2508,1
62196,62513,4
24631,510710,110
204865,7920,1
51274,7622,3
51280,17899,3
47188,77317,1
62137,18402,1
59481,14339,1
200796,21878,4
34918,26104,3
204904,3834,3
59501,4665,1
57454,14243,3
57457,94486,6
59506,1004110,65
60084,42952,6
57461,58942,2
43135,5747,4
57474,78026,10
24707,19283,5
203798,16216,1
59526,31592,2
47262,22310,4
39074,159958,52
59566,127069,6
62132,30096,5
59573,9255,3
30902,90669,17
59587,208263,60
205207,12473,1
59589,13057,2
43211,8639,1
43212,25425,11
204834,71465,7
207057,3559,1
51411,169680,13
57563,2037,1
205020,21841,2
47330,28656,1
35043,58690,3
57574,25282,4
51431,30861,3
59431,21613,13
59628,50048,9
51460,9447,3
59654,14469,3
35088,6917,1
203026,22487,2
207125,7413,1
49433,6466,2
51488,17609,2
207141,67250,10
201937,10013,1
59691,6992,6
58249,62532,4
59703,117799,6
59708,16239,3
205118,5214,1
60811,16648,3
29068,478058,22
201442,16257,4
43343,332628,48
205138,2801,1
51541,35638,8
57687,55332,3
203100,21250,4
51554,8119,3
59754,17684,2
59757,10216,1
24947,3152,4
12660,72385,6
60138,89103,6
59797,4036,1
43395,57867,3
29079,260491,17
39308,58039,21
57745,4591,3
59794,14224,9
29077,21312,3
43415,20932,4
12697,19303,1
8604,43141,11
205217,29630,1
51618,62811,7
199082,75092,8
205229,98758,4
49596,83557,7
59838,12655,3
39364,39811,5
47558,1393,1
31175,24053,6
39368,8423,1
31182,22210,1
203102,35560,3
35285,1351,1
57816,58233,8
43487,5199,1
203236,7737,1
59884,14042,3
203247,267567,4
43510,30711,11
204203,29344,2
59961,2491,1
59912,19945,4
59914,69375,4
201227,10797,2
21005,32432,7
49680,26751,6
51732,1356,1
47643,19811,1
43553,22964,1
25124,1592500,41
43560,2864,1
39466,4207,1
61191,8602,1
51759,186096,35
59962,300449,21
39484,29699,4
57917,84125,4
25158,2469,1
31303,10281,1
51785,9314,3
51788,7790,1
39501,1564882,88
6736,56129,13
62039,23149,3
25184,495064,93
203363,1783,1
205415,5028,2
60014,3635,2
51828,1789802,138
