41472,15971,6
203268,19631,8
17927,16726,9
39432,117367,20
35338,4253,1
200025,15062,4
206878,3986,2
44577,64621,6
47146,4339,2
42028,1820,2
60462,13045,5
206942,5517,1
48695,2018615,296
42591,14389,4
21002,12755,2
44614,1290,1
29255,30933,8
44623,9749,1
49240,29459,6
34397,235005,48
41054,18843,4
30815,101626,11
34400,121553,26
50280,3820,1
49257,15070,4
44138,1825,3
205159,3317,1
48237,0,0
198254,22757,11
57968,26666,2
57458,30708,2
44689,41761,2
34426,155374,30
197247,4541,1
30857,63593,11
49805,9360,1
15505,124822,56
60050,34354,3
60055,21689,3
24731,6900,1
48801,3902,1
49317,13387,3
58025,21712,5
201927,19169,3
41132,6367,2
47794,1953592,290
31416,7110,2
43706,87900,6
41659,9347,1
42684,38257,1
47805,175711,8
8895,658177,140
50880,55122,19
42182,5488,1
56865,4932,2
48840,71311,8
60621,19833,4
41176,78613,19
41594,2323,2
47327,3188,1
202982,1887,3
204011,5108,3
3311,1137,2
196848,2146,1
12529,14452,3
31699,42345,11
43766,884001,233
43775,102220,26
60161,21231,5
30981,8036,9
198406,69441,5
51975,74900,8
57900,2785,1
28938,41061,16
41739,3372,1
42769,1839,1
57112,14409,2
56604,5400,3
48932,12746,7
48937,42504,8
43316,22373,2
50999,13187,16
39228,107103,17
207169,104353,16
49474,10939,2
41810,44961,16
61268,9547,2
50517,10732,3
42838,3415,1
57689,51532,1
42333,7130,1
197989,75117,4
206694,42515,4
25233,962763,55
197994,1210,1
203116,4964,2
43373,75202,11
43378,11879,2
202105,150959,28
59771,7825,3
206716,7502,1
56714,14680,3
39891,54138231,3520
35753,304847,99
42411,9836,5
44465,5326,1
62452,27518,4
25019,8226042,827
42428,175456,29
39358,28144,7
42943,203760,20
49610,9691,1
44995,17843,3
43977,24165,6
39370,253927,10
41426,82079,4
43987,153513,12
51670,75711,3
39386,38922,10
35819,1961247,307
39919,38711,21
29684,1331576,100
29690,98218,17
41215,1004,1
