50710,8696595,424
206893,15809,4
57908,80485,7
201272,74566,4
205371,3327,2
205889,35047,7
59458,54259,10
57417,7107,1
198735,261901,14
205407,40374,4
57958,99237,8
3178,102564,18
203374,29378,4
3194,138792,8
207097,33776,16
203904,17797,3
206471,32365,4
203409,51944,7
199826,17058,4
198169,42968,5
12952,99743,5
205470,28185,2
200865,29811,6
56484,42827,13
21277,152670,61
44217,77544,55
203459,40452,8
59588,412566,29
203982,25826,5
34515,3047,4
200654,10316,3
200929,14788,2
59625,11228,5
200939,8366,3
60145,7309,1
57588,214600,18
60663,13067,13
205049,64351,4
197882,61178,22
197893,68670,12
62223,18551,4
206611,35432,4
48407,24621,19
207138,14533,2
200485,36017,5
39216,317615,54
206641,31194,4
196918,9661,2
201031,85460,12
51018,57609,23
51539,11480,4
35160,22916,3
52059,55431,4
198802,281956,20
206190,35362,5
205169,51254,4
204149,6811,1
204152,6877,1
206206,53517,15
203653,56084,6
60815,18473,4
62368,4827,1
50597,342834,39
202055,81914,4
202672,12055,4
202777,26602,3
201145,13102,3
198589,254229,27
201668,40813,5
205473,72203,4
202699,44827,6
203214,17399,2
203217,148434,11
58322,241208,19
49110,68200,5
200697,8885,4
204249,73798,14
51684,60853,8
205800,46646,5
57324,142800,19
203257,21476,4
204798,22645,4
