203267,6726,5
61963,644,1
198157,1165,1
33847,994,1
59968,217,1
47201,48754,8
198247,69348,21
39031,1226,1
203896,2162,3
50811,1117,1
201340,2677,3
200851,8838,2
200852,1059,3
44703,15466,10
205988,4647,2
206505,9013,4
60080,2656,2
41152,67720,9
199878,5520,1
198861,1227,2
61137,2422,2
60117,33725,43
206570,934,1
60140,29912,4
198381,26269,37
204014,201414,2
204015,1211,1
57585,29834,3
47862,5951,14
198394,17434,28
198398,3207,2
197381,10952,8
8966,142023,51
5384,440524,348
35086,8360,2
202024,18244,14
59695,1050,1
57143,109,1
202041,3450,3
57163,1408,3
57171,1223,1
57187,4120,3
57702,840,1
198503,1299,1
198504,15182,23
25465,5177,4
206204,2417,2
59773,48472,4
197024,1371,1
200612,49591,11
50602,1264,1
58283,1216,1
202670,1528,2
58287,1375,1
206771,1204,1
15802,944840,187
56479,1195,1
206277,1131,1
201678,19918,6
202715,2694,2
59868,630,1
201700,3319,3
5613,6573,3
51182,9341,9
198129,1155,1
52216,113,1
62458,40,1
60924,12267,19
