31488,25270,3
39682,4605,1
198019,1065,4
51080,6681,4
203273,4989,1
42642,1649,2
43158,1999,2
201378,1335,1
3225,426937,176
25242,4294,4
196635,74503,16
201756,4915,1
42781,20702,19
56680,6621,1
25122,40082,31
199729,2381,1
50475,16348,2
203308,12200,4
29357,93421,76
43184,6020,2
56753,4948,1
196659,3975,6
29237,2560,2
51254,12969,4
196921,94043,49
21050,981881,275
206879,1869,2
16060,1818,2
199869,29814,5
57278,2039,2
49205,8904,2
60992,2248,1
9155,637750,435
41669,2492,3
61089,3991,4
43080,785,1
51914,10932,2
43852,14668,5
41890,10449,3
39504,2641,4
42961,333265,179
47442,129557,169
50774,1139,3
207130,82802,11
47589,802292,202
49104,920,1
199616,3935,4
29029,82765,16
199526,2027,2
35181,21797,15
42606,5035,1
52081,8395,5
57714,1766,1
57719,5756,1
198392,16032,2
205554,13677,11
205780,7534,5
