61113,6644,2
43019,30566,10
12812,21835,5
35074,1477388,149
56337,8143,1
42003,149074,61
202772,11062,1
59931,10270,2
42020,39184,13
197674,13579,12
43056,8430,7
59955,12683,5
34356,45783,4
24634,141462,48
206911,12670,2
34370,12181,4
206406,6268,5
60999,3244,2
48206,17688,4
56333,9277,4
57937,756,1
29027,11369,5
47701,87114,5
38999,26260,11
12376,3863,1
39010,896436,209
48740,4847,1
47719,4716,4
3176,9297,3
50285,620,1
197249,1816,1
206472,25110,5
60524,1152,1
34447,3386,1
62100,6943,3
15511,20874,5
34458,65811,22
44189,13781,2
31390,7756,4
57513,33649,9
206519,47127,2
47289,11596,4
206197,15540,2
62144,5608,1
25281,31768,4
51910,7347,7
42183,12279,5
48847,71667,22
56530,720,1
198867,10253,2
206550,8298,1
3290,25013,4
51938,20054,4
34032,2697,3
13044,1278,1
41211,4721,1
16130,101389,20
57604,12651,4
205578,20405,1
34062,3592,4
16169,20296,4
12590,7408,3
43824,94435,32
203913,584,1
24892,4578,4
47935,22767,4
34113,4667,4
50500,4383,4
201544,7399,1
42828,12879,4
42835,1869,1
206169,3302,1
9051,561070,155
42334,254143,60
203615,12091,6
31587,8689,4
42852,19941,14
51558,1721,2
41833,378309,67
39275,32557,1
31037,53701,5
203637,16347,4
15739,31118,4
49020,8502,4
35197,30170,17
25471,11819,4
24982,11342,2
20874,22458,4
50839,1144,1
29070,4650,4
61330,8956,3
25491,22191,4
34708,34698,7
60398,7232,7
31126,1426449,311
57256,24094,10
29099,0,0
57778,14701,5
44979,4534,4
34741,9016,4
29623,9178,4
205556,52563,5
64443,9183,4
39868,3535,1
41423,10179,2
50131,4435,5
60372,10661,4
199643,4280,1
41956,63410,7
39402,2982,1
39918,13214,2
48629,4449,4
60406,6917,1
58281,50874,2
8699,3549,4
57852,4959,4
59989,9655,4
